Date,Open,High,Low,Close,Adj Close,Volume
2021-01-07,229.309998,229.949997,220.089996,226.899994,223.890305,49361800
2021-01-08,227.880005,238.600006,226.682999,236.190002,233.057098,34884900
2021-01-11,229.899994,230.824997,225.860001,227.369995,224.354080,23036900
2021-01-12,228.384995,229.750000,225.139999,225.600006,222.607574,18969900
2021-01-13,229.940002,240.490005,226.289993,235.300003,232.178894,38805100
2021-01-14,245.309998,245.699997,241.470001,242.979996,239.757019,31381600
2021-01-15,246.250000,246.990005,242.149994,243.460007,240.230667,21561600
2021-01-19,250.000000,252.880005,246.990005,251.649994,248.312012,23681900
2021-01-20,267.500000,269.000000,262.700012,265.489990,261.968445,44640800
2021-01-21,264.130005,264.600006,257.899994,260.000000,256.551270,20709900
2021-01-22,256.799988,260.329987,255.500000,258.619995,255.189560,13518200
2021-01-25,263.619995,265.200012,257.850006,261.380005,257.912964,19478600
2021-01-26,263.799988,266.000000,261.119995,265.920013,262.392761,14681200
2021-01-27,265.130005,265.920013,259.950012,260.250000,256.797943,16050400
2021-01-28,259.170013,261.570007,257.329987,260.760010,257.301208,10244900
2021-01-29,256.029999,258.899994,252.300003,253.830002,250.463104,14693000
2021-02-01,258.799988,265.000000,255.195007,264.690002,261.179047,15289300
2021-02-02,264.570007,265.000000,254.039993,254.500000,251.124222,30534300
2021-02-03,264.700012,268.279999,261.250000,263.429993,259.935760,29179700
2021-02-04,269.579987,269.989990,265.558014,266.959991,263.418945,16763000
2021-02-05,264.609985,266.450012,263.209991,265.670013,262.146057,11018700
2021-02-08,264.980011,265.000000,261.820007,262.589996,259.106903,10721100
2021-02-09,263.000000,267.200012,262.540009,266.489990,262.955170,12432800
2021-02-10,268.700012,270.399994,264.600006,267.790009,264.237946,13090800
2021-02-11,268.750000,274.260010,267.200012,268.929993,265.362823,15295800
2021-02-12,269.089996,270.250000,265.679993,267.850006,264.297150,9355100
2021-02-16,271.000000,274.290009,270.399994,270.700012,267.109344,16708700
2021-02-17,270.890015,272.316010,267.809998,270.829987,267.237610,13262400
2021-02-18,265.230011,266.179993,262.329987,264.510010,261.001465,15382300
2021-02-19,266.049988,269.390015,262.850006,263.589996,260.093658,14718400
2021-02-22,257.989990,259.459991,254.000000,254.000000,250.630859,14403500
2021-02-23,247.309998,254.899994,241.619995,252.750000,249.397430,15980300
2021-02-24,252.000000,252.000000,248.100006,250.339996,247.019394,12831700
2021-02-25,250.000000,250.339996,240.070007,240.179993,236.994156,17967300
2021-02-26,244.630005,244.899994,237.649994,237.759995,234.606262,17470700
2021-03-01,241.050003,242.789993,239.259995,241.690002,238.484146,14043300
2021-03-02,238.789993,241.199997,234.270004,234.419998,231.310562,14644200
2021-03-03,237.500000,239.608994,234.451004,236.270004,233.136032,13571700
2021-03-04,235.000000,236.369995,228.360001,230.500000,227.442566,22964800
2021-03-05,235.419998,236.429993,228.339996,233.889999,230.787598,15988400
2021-03-08,229.020004,230.809998,226.529999,226.690002,223.683105,17138400
2021-03-09,233.380005,238.740005,233.074997,238.139999,234.981232,15291300
2021-03-10,241.000000,241.324997,233.639999,234.300003,231.192169,10491200
2021-03-11,237.199997,241.720001,235.000000,240.800003,237.605942,15162500
2021-03-12,233.695007,235.449997,229.705994,231.869995,228.794388,17778400
2021-03-15,228.410004,230.449997,226.259995,230.279999,227.225479,14499700
2021-03-16,228.070007,229.850006,225.529999,226.929993,223.919907,19336600
2021-03-17,226.500000,235.630005,225.809998,233.339996,230.244888,16949500
2021-03-18,238.559998,239.500000,235.559998,236.429993,233.293900,14822300
2021-03-19,239.660004,241.600006,236.884003,239.789993,236.609329,15959700
2021-03-22,235.854996,238.529999,235.000000,237.119995,233.974747,12063200
2021-03-23,237.300003,241.119995,235.500000,237.669998,234.517456,12295600
2021-03-24,236.830002,237.300003,229.240005,229.589996,226.544632,15949900
2021-03-25,225.000000,229.240005,222.500000,222.720001,219.765762,24819800
2021-03-26,222.000000,229.238998,220.419998,227.259995,224.245529,22030800
2021-03-29,225.490005,232.380005,225.100006,231.860001,228.784531,18029100
2021-03-30,229.270004,230.449997,226.639999,229.250000,226.209152,14828700
2021-03-31,229.889999,231.520004,226.470001,226.729996,223.722565,16825400
2021-04-01,230.679993,231.250000,223.500000,224.360001,221.384003,23497500
2021-04-05,226.529999,226.570007,222.520004,225.300003,222.311539,14962100
2021-04-06,226.029999,232.000000,225.740005,230.570007,227.511642,18100400
2021-04-07,226.110001,228.190002,224.800003,225.419998,222.429947,18034900
2021-04-08,228.500000,229.419998,226.619995,228.240005,225.212555,12211300
2021-04-09,224.850006,225.070007,221.320007,223.309998,220.347931,19763000
2021-04-12,237.889999,244.910004,236.649994,244.009995,240.773361,57500300
2021-04-13,243.660004,245.690002,239.690002,241.889999,238.681488,20793000
2021-04-14,244.369995,245.089996,238.649994,239.229996,236.056763,12405200
2021-04-15,240.000000,240.949997,238.126999,239.089996,235.918625,11288900
2021-04-16,241.889999,241.889999,237.820007,238.690002,235.523926,14418800
2021-04-19,237.440002,238.419998,232.809998,234.779999,231.665787,11216000
2021-04-20,232.869995,234.630005,228.429993,229.880005,226.830795,12093900
